wife; married woman; Madame; Mrs.,太太
only if; unless,除非
keyboard,键盘
take a risk; take chances,冒险
large-scale; wide-scale,大型
emphasize; to stress,强调
to sprinkle; to spray; to spill,洒
bilateral; both sides; both parties involved,双方
straightforward; clear-cut; blunt,干脆
document; file,文件
efficiency,效率
fault; bad habit; shortcoming,毛病
shadow; reflection,影子
steamed bun/roll,馒头
kind; amiable; cordial,亲切
browse; glance over; skim through,浏览
to form; part; element; constitute,组成
reflect; reflection; report on,反映
be faced with; be up against,面临
bright (future); promising; illuminate,光明
(surface) area,面积
monkey,猴子
arrive at; period; session; (mw for events; meetings; etc.),届
hometown,家乡
uneasy; unstable; disturbed,不安
sign; mark; signal; symbol,标志
to itch; itchy,痒
director; head; chief,主任
machine,机器
grow; grow up,生长
balcony,阳台
peace,和平
work out; body-building,健身
glove; mitten,手套
boiled water; boil water,开水
structure; composition,结构
to boast; to praise; exaggerate,夸
extremely; very; terribly; my god! (expression of surprise),不得了
loss (financial); lose,损失
be allergic; allergy,过敏
to guide; give directions,指导
woman; women in general,妇女
two; twist (2nd Heavenly Stem) (Kangxi radical 5),乙
butterfly,蝴蝶
appetite,胃口
fixed; regular; stable,固定
immigrate; emigrate; migrate,移民
imitate; to copy,模仿
convenient; without extra trouble,随手
admire; applause; to praise,赞美
peach,桃
cautious; prudent,谨慎
"to pick (flowers, fruit, etc.); to pluck; to take; to borrow",摘
short period; disposition of troops; wave,阵
thus; thereby; as a result,从而
tail,尾巴
show consideration for; thoughtful,体贴
joint photo; group photo,合影
can't say for sure; perhaps; maybe,说不定
unanimous; identical (views or opinions); consistent,一致
to chop; cut down,砍
give a lecture; make a speech,演讲
bone; moral character,骨头
wing,翅膀
write an essay; essay,作文
honored guest,嘉宾
accidentally; occasional; fortuitous,偶然
work; toil; (physical) labor,劳动
"conserve; preserve; to keep, to save a file in a computer",保存
worker,工人
"to drive; to pilot (a ship, an airplane, etc.)",驾驶
personally,亲自
course; curriculum; class,课程
broadcast; transmit,播放
geography,地理
advise; to urge; persuade,劝
pass away; die,去世
ton,吨
apartment building,公寓
spread out; unfold; carry out; in full swing,展开
result; achievement; gain,成果
to tear (something),撕
look at; see (colloquial),瞧
pot; kettle; jug; (mw for bottled liquids),壶
solemn; serious; earnest,严肃
scale; scope; extent,规模
metal,金属
convene (a conference or meeting); call together,召开
club (group or organization),俱乐部
attend; be present; participate,出席
one after another; in succession; in profusion; diverse; pell-mell,纷纷
combustion; burn; kindle,燃烧
notion; thought; concept,观念
as quickly as possible,尽快
to earn | to struggle,挣
hardworking; diligent; industrious,勤奋
treatment; pay; wage; salary,待遇
drape over one's shoulders; split open; open,披
evidence; proof; testimony,证据
measure; step (to be taken),措施
subject; title; topic,题目
letter (of the alphabet),字母
ancient times,古代
work a part time job; (regional) do manual labor; do odd jobs,打工
future; prospects; outlook (for the future),前途
population; the populace,人口
determination; resolution,决心
partner (for an activity); friend; pal,伙伴
bedroom,卧室
