Prime Number,Time
3823,0.000313
3833,0.000199
3847,0.000234
3851,0.000245
3853,0.000187
3863,0.000185
3877,0.000185
3881,0.000184
3889,0.000186
3907,0.000186
3911,0.000186
3917,0.000187
3919,0.000187
3923,0.000189
3929,0.000187
3931,0.000194
3943,0.000188
3947,0.000202
3967,0.000189
3989,0.00019
4001,0.000191
4003,0.000196
4007,0.000214
4013,0.000191
4019,0.000252
4021,0.000293
4027,0.000284
4049,0.000193
4051,0.000196
4057,0.000194
4073,0.000196
4079,0.0002
4091,0.0002
4093,0.000194
4099,0.0002
4111,0.000199
4127,0.000196
4129,0.000203
4133,0.000197
4139,0.000198
4153,0.000198
4157,0.000198
4159,0.0002
4177,0.000199
4201,0.000201
4211,0.000201
4217,0.000228
4219,0.000248
4229,0.00038
4231,0.000167
4241,0.000272
4243,0.000205
4253,0.0002
4259,0.000203
4261,0.000206
4271,0.000204
4273,0.000206
4283,0.000205
4289,0.000205
4297,0.000205
4327,0.000207
4337,0.000212
4339,0.000208
4349,0.000218
4357,0.000212
4363,0.000253
4373,0.000209
4391,0.00021
4397,0.00021
4409,0.000211
4421,0.000212
4423,0.00021
4441,0.000216
4447,0.000295
4451,0.000214
4457,0.000291
4463,0.000293
4481,0.000292
4483,0.0003
4493,0.000231
4507,0.000288
4513,0.000219
4517,0.000221
4519,0.0002220000000000001
4523,0.000215
4547,0.000218
4549,0.000217
4561,0.000219
4567,0.000223
4583,0.000224
4591,0.000223
4597,0.00022
4603,0.000224
4621,0.000254
4637,0.000232
4639,0.000224
4643,0.000233
4649,0.000223
4651,0.000199
4657,0.000204
4663,0.000403
4673,0.00025
4679,0.00027400000000000005
4691,0.000282
4703,0.000226
4721,0.000227
4723,0.000227
4729,0.000227
4733,0.000227
4751,0.00023
4759,0.000228
4783,0.000231
4787,0.000226
4789,0.000226
4793,0.000226
4799,0.000227
4801,0.000229
4813,0.000227
4817,0.000232
4831,0.000228
4861,0.000233
4871,0.000326
4877,0.000256
4889,0.000382
4903,0.000421
4909,0.000311
4919,0.00029
4931,0.000271
4933,0.000238
4937,0.000237
4943,0.000237
4951,0.000238
4957,0.000241
4967,0.000239
4969,0.000242
4973,0.000239
4987,0.000241
4993,0.000244
4999,0.000245
5003,0.000241
5009,0.000246
5011,0.000241
5021,0.00024700000000000004
5023,0.000319
5039,0.00037
5051,0.000314
5059,0.00027400000000000005
5077,0.000338
5081,0.000263
5087,0.000282
5099,0.000264
5101,0.000258
5107,0.000349
5113,0.000349
5119,0.000348
5147,0.000283
5153,0.000277
5167,0.000276
5171,0.000282
5179,0.000202
5189,0.000204
5197,0.000257
5209,0.000252
5227,0.000256
5231,0.000279
5233,0.000256
5237,0.000294
5261,0.000382
5273,0.000283
5279,0.000215
5281,0.00024
5297,0.000234
5303,0.000302
5309,0.000293
5323,0.000296
5333,0.000292
5347,0.000297
5351,0.000294
5381,0.000297
5387,0.000217
5393,0.00021
5399,0.000209
5407,0.000209
5413,0.000209
5417,0.000248
5419,0.000299
5431,0.000263
5437,0.000263
5441,0.00028700000000000004
5443,0.00028
5449,0.000364
5471,0.000293
5477,0.000297
5479,0.0003
5483,0.000273
5501,0.000266
5503,0.000269
5507,0.000266
5519,0.000268
5521,0.000266
5527,0.000273
5531,0.000267
5557,0.00027
5563,0.000269
5569,0.000271
5573,0.000269
5581,0.027543
5591,0.000271
5623,0.000217
5639,0.00029
5641,0.00027400000000000005
5647,0.000275
5651,0.000273
5653,0.000275
5657,0.000278
5659,0.000277
5669,0.000311
5683,0.000321
5689,0.000314
5693,0.000317
5701,0.000317
5711,0.00031600000000000004
5717,0.000315
5737,0.000431
5741,0.000323
5743,0.000464
5749,0.000223
5779,0.000242
5783,0.000226
5791,0.00028
5801,0.000478
5807,0.000285
5813,0.000306
5821,0.00034500000000000004
5827,0.000362
5839,0.000282
5843,0.000283
5849,0.000283
5851,0.000283
5857,0.000283
5861,0.000283
5867,0.000284
5869,0.000285
