Date:  21:52, Saturday, February 08, 2020
Model name:Cantilever
Study name:Static 1(-Default-)
Plot type: Static displacement Displacement1
Result Type: URES 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)
519  ,3.286e-01   ,-3.8889  ,6  ,9.2308
520  ,3.286e-01   ,-3.8889  ,6  ,10.769
521  ,3.275e-01   ,-3.8889  ,6  ,12.308
522  ,3.252e-01   ,-3.8889  ,6  ,13.846
523  ,3.221e-01   ,-3.8889  ,6  ,15.385
524  ,3.185e-01   ,-3.8889  ,6  ,16.923
525  ,3.145e-01   ,-3.8889  ,6  ,18.462
526  ,2.427e-01   ,-2.3333  ,6  ,1.5385
527  ,2.438e-01   ,-2.3333  ,6  ,3.0769
528  ,2.455e-01   ,-2.3333  ,6  ,4.6154
529  ,2.473e-01   ,-2.3333  ,6  ,6.1538
530  ,2.488e-01   ,-2.3333  ,6  ,7.6923
531  ,2.492e-01   ,-2.3333  ,6  ,9.2308
532  ,2.492e-01   ,-2.3333  ,6  ,10.769
533  ,2.487e-01   ,-2.3333  ,6  ,12.308
534  ,2.471e-01   ,-2.3333  ,6  ,13.846
535  ,2.456e-01   ,-2.3333  ,6  ,15.385
536  ,2.441e-01   ,-2.3333  ,6  ,16.923
537  ,2.433e-01   ,-2.3333  ,6  ,18.462
538  ,4.009e+00   ,-36.556  ,6  ,1.5385
539  ,4.018e+00   ,-36.556  ,6  ,3.0769
540  ,4.026e+00   ,-36.556  ,6  ,4.6154
541  ,4.031e+00   ,-36.556  ,6  ,6.1538
542  ,4.035e+00   ,-36.556  ,6  ,7.6923
543  ,4.036e+00   ,-36.556  ,6  ,9.2308
544  ,4.036e+00   ,-36.556  ,6  ,10.769
545  ,4.035e+00   ,-36.556  ,6  ,12.308
546  ,4.031e+00   ,-36.556  ,6  ,13.846
547  ,4.025e+00   ,-36.556  ,6  ,15.385
548  ,4.018e+00   ,-36.556  ,6  ,16.923
549  ,4.009e+00   ,-36.556  ,6  ,18.462
550  ,4.272e+00   ,-38.111  ,6  ,1.5385
551  ,4.281e+00   ,-38.111  ,6  ,3.0769
552  ,4.288e+00   ,-38.111  ,6  ,4.6154
553  ,4.294e+00   ,-38.111  ,6  ,6.1538
554  ,4.297e+00   ,-38.111  ,6  ,7.6923
555  ,4.299e+00   ,-38.111  ,6  ,9.2308
556  ,4.299e+00   ,-38.111  ,6  ,10.769
557  ,4.297e+00   ,-38.111  ,6  ,12.308
558  ,4.294e+00   ,-38.111  ,6  ,13.846
559  ,4.288e+00   ,-38.111  ,6  ,15.385
560  ,4.281e+00   ,-38.111  ,6  ,16.923
561  ,4.272e+00   ,-38.111  ,6  ,18.462
562  ,4.542e+00   ,-39.667  ,6  ,1.5385
563  ,4.550e+00   ,-39.667  ,6  ,3.0769
564  ,4.557e+00   ,-39.667  ,6  ,4.6154
565  ,4.562e+00   ,-39.667  ,6  ,6.1538
566  ,4.565e+00   ,-39.667  ,6  ,7.6923
567  ,4.567e+00   ,-39.667  ,6  ,9.2308
568  ,4.567e+00   ,-39.667  ,6  ,10.769
569  ,4.565e+00   ,-39.667  ,6  ,12.308
570  ,4.562e+00   ,-39.667  ,6  ,13.846
571  ,4.557e+00   ,-39.667  ,6  ,15.385
572  ,4.550e+00   ,-39.667  ,6  ,16.923
573  ,4.542e+00   ,-39.667  ,6  ,18.462
574  ,4.817e+00   ,-41.222  ,6  ,1.5385
575  ,4.825e+00   ,-41.222  ,6  ,3.0769
576  ,4.831e+00   ,-41.222  ,6  ,4.6154
577  ,4.836e+00   ,-41.222  ,6  ,6.1538
578  ,4.839e+00   ,-41.222  ,6  ,7.6923
579  ,4.841e+00   ,-41.222  ,6  ,9.2308
580  ,4.841e+00   ,-41.222  ,6  ,10.769
581  ,4.839e+00   ,-41.222  ,6  ,12.308
582  ,4.836e+00   ,-41.222  ,6  ,13.846
583  ,4.831e+00   ,-41.222  ,6  ,15.385
584  ,4.825e+00   ,-41.222  ,6  ,16.923
585  ,4.817e+00   ,-41.222  ,6  ,18.462
586  ,5.097e+00   ,-42.778  ,6  ,1.5385
587  ,5.105e+00   ,-42.778  ,6  ,3.0769
588  ,5.111e+00   ,-42.778  ,6  ,4.6154
589  ,5.115e+00   ,-42.778  ,6  ,6.1538
590  ,5.118e+00   ,-42.778  ,6  ,7.6923
591  ,5.120e+00   ,-42.778  ,6  ,9.2308
592  ,5.120e+00   ,-42.778  ,6  ,10.769
593  ,5.118e+00   ,-42.778  ,6  ,12.308
594  ,5.115e+00   ,-42.778  ,6  ,13.846
595  ,5.111e+00   ,-42.778  ,6  ,15.385
596  ,5.105e+00   ,-42.778  ,6  ,16.923
597  ,5.097e+00   ,-42.778  ,6  ,18.462
598  ,5.382e+00   ,-44.333  ,6  ,1.5385
599  ,5.390e+00   ,-44.333  ,6  ,3.0769
600  ,5.395e+00   ,-44.333  ,6  ,4.6154
601  ,5.400e+00   ,-44.333  ,6  ,6.1538
602  ,5.403e+00   ,-44.333  ,6  ,7.6923
603  ,5.404e+00   ,-44.333  ,6  ,9.2308
604  ,5.404e+00   ,-44.333  ,6  ,10.769
605  ,5.402e+00   ,-44.333  ,6  ,12.308
606  ,5.400e+00   ,-44.333  ,6  ,13.846
