(informal) father's father; paternal grandfather,爷爷;爺爺,yé ye
ear,耳朵;耳朵,ěr duo
pants; trousers,裤子;褲子,kù zi
satisfied; pleased,满意;滿意,mǎn yì
a while; a moment,一会儿;一會兒,yí huì r
bread,面包;面包,miàn bāo
to check; examine; inspect,检查;檢查,jiǎn chá
nose,鼻子;鼻子,bí zi
hat; cap,帽子;帽子,mào zi
season; time; period,季节;季節,jì jié
meeting; conference,会议;會議,huì yì
beer,啤酒;啤酒,pí jiǔ
(informal) father's younger brother; uncle,叔叔;叔叔,shū shu
physical training; sports,体育;體育,tǐ yù
horn; angle; unit of money (1/10 yuan); corner (Kangxi radical 148) | role (theater),角;角,jiǎo | jué
to exercise; work out; toughen; to temper,锻炼;鍛煉,duàn liàn
beverage; drink,饮料;飲料,yǐn liào
public park,公园;公園,gōng yuán
library,图书馆;圖書館,tú shū guǎn
refrigerator,冰箱;冰箱,bīng xiāng
to move; to transport,搬;搬,bān
shirt; blouse,衬衫;襯衫,chèn shān
panda,熊猫;熊貓,xióng māo
quarter (hour); (mw for short time intervals); carve; to cut,刻;刻,kè
umbrella; parasol,伞;傘,sǎn
notebook,笔记本;筆記本,bǐ jì běn
bike; bicycle,自行车;自行車,zì xíng chē
elevator,电梯;電梯,diàn tī
air conditioning,空调;空調,kōng tiáo
manager; director,经理;經理,jīng lǐ
skirt,裙子;裙子,qún zi
practice; exercise,练习;練習,liàn xí
to worry; feel anxious,着急;著急,zháo jí
hobby; fond of; to like; interest,爱好;愛好,ài hào
chopsticks,筷子;筷子,kuài zi
credit card,信用卡;信用卡,xìn yòng kǎ
"principal (of school, college or university); president; headmaster",校长;校長,xiào zhǎng
study abroad,留学;留學,liú xué
not only,不但;不但,bú dàn
be interested in,感兴趣;感興趣,gǎn xìng qù
north; the northern part of the country,北方;北方,běi fāng
guest; customer,客人;客人,kè rén
brush one's teeth,刷牙;刷牙,shuā yá
map,地图;地圖,dì tú
neighbor,邻居;鄰居,lín jū
street,街道;街道,jiē dào
bottle,瓶子;瓶子,píng zi
altogether; in total,一共;一共,yí gòng
to ask for time off,请假;請假,qǐng jià
kilogram,公斤;公斤,gōng jīn
to clean; to sweep,打扫;打掃,dǎ sǎo
leather shoes,皮鞋;皮鞋,pí xié
thirsty,渴;渴,kě
take off (in an airplane); liftoff,起飞;起飛,qǐ fēi
famous; well-known,有名;有名,yǒu míng
sentence,句子;句子,jù zi
mountain climbing,爬山;爬山,pá shān
passport,护照;護照,hù zhào
plate; dish; tray,盘子;盤子,pán zi
blackboard,黑板;黑板,hēi bǎn
Yellow River,黄河;黃河,huáng hé
menu,菜单;菜單,cài dān
toilet; lavatory; washroom,洗手间;洗手間,xǐ shǒu jiān
height; stature; build,个子;個子,gè zi
trunk; suitcase,行李箱;行李箱,xíng lǐ xiāng
grade; year (in school),年级;年級,nián jí
camera,照相机;照相機,zhào xiàng jī
windy; to blow (wind),刮风;刮風,guā fēng
dictionary,词典;詞典,cí diǎn
email,电子邮件;電子郵件,diàn zǐ yóu jiàn
supermarket,超市;超市,chāo shì
to worry; feel anxious,担心;擔心,dān xīn
have a fever,发烧;發燒,fā shāo
ten thousand,万;萬,wàn
weekend,周末;周末,zhōu mò
